CÁCH | Tử Vi & Thiên Phủ đồng cung tại Dần hoặc Thân | Phúc hậu, giàu sang, quyền quý, phúc lộc trọn đời. | "Tử Phủ đồng cung, chung thân phúc hậu."
CÁCH | Tử Vi & Phá Quân đồng cung tại Thìn hoặc Tuất | Giàu có nhưng không sang, quyền hành suy giảm, dễ mang tiếng bất trung bất hiếu. | "Tử Vi Thìn Tuất ngộ Phá Quân, phú nhi bất quý hữu hư danh."
CÁCH | Liêm Trinh & Tham Lang đồng cung tại Tị hoặc Hợi | Tình duyên trắc trở, dễ vướng vào chuyện thị phi tình ái, thậm chí tù tội. | "Liêm Tham Tị Hợi cung, tình trường lận đận, ngục tù nan đào."
CÁCH | Thiên Đồng & Thái Âm đồng cung tại Tí | Nữ mệnh có nhan sắc, cuộc sống an nhàn nhưng dễ dâm đãng nếu hãm địa. | "Đồng Nguyệt Tí cung, nữ mệnh đa tình."
CÁCH | Tham Lang & Hỏa Tinh hoặc Linh Tinh đồng cung tại Thìn, Tuất, Sửu, Mùi | Phú quý song toàn, uy danh lẫy lừng, sự nghiệp vang dội. | "Tham Lang tứ mộ ngộ Hỏa Linh, phú quý doanh môn uy danh chấn."
CÁCH | Cự Môn đồng cung Thái Dương tại Dần | Danh tiếng, bổng lộc đầy đủ nhưng dễ miệng tiếng thị phi. | "Cự Nhật Dần cung, thực lộc trì danh."
CÁCH | Vũ Khúc & Tham Lang đồng cung | Trước nghèo sau giàu, ngoài ba mươi tuổi mới phát, giỏi kinh doanh tính toán. | "Tham Vũ đồng hành, vãn cảnh biên di thần phục."
CÁCH | Thất Sát thủ mệnh tại Dần, Thân, Tí, Ngọ hội Khôi Việt, Xương Khúc | Tước lộc vinh xương, quyền uy hiển hách, võ công chấn thế. | "Thất Sát triều đấu, tước lộc vinh xương."
CÁCH | Thiên Cơ & Thiên Lương đồng cung tại Thìn hoặc Tuất | Thông minh, thiện luận binh pháp, mưu lược hơn người. | "Thìn Tuất Cơ Lương phi tiểu bố."
CÁCH | Thái Dương thủ mệnh tại Ngọ | Quyền cao chức trọng, giàu có địch quốc. | "Thái Dương cư Ngọ, Nhật lệ trung thiên, hữu chuyên quyền chi vị, địch quốc chi phú."
CÁCH | Thái Âm thủ mệnh tại Hợi | Xuất thế vinh hoa, chức vị cao, danh tiếng lẫy lừng. | "Nguyệt lạc Hợi cung, thiềm cung chiết quế."
CÁCH | Phá Quân thủ mệnh tại Tí hoặc Ngọ, vô sát tinh | Quan chức thanh hiển, có thể đến bậc tam công. | "Phá Quân Tí Ngọ vô sát, vị chí tam công."
CÁCH | Thiên Tướng thủ mệnh, gặp Vũ Khúc & Thiên Lương hội hiệp | Tài năng, quyền quý, phú quý song toàn. | "Tài ấm hiệp ấn, phú quý khả kỳ."
CÁCH | Thiên Tướng thủ mệnh, gặp Liêm Trinh & Kình Dương hội hiệp | Dễ vướng vào tù tội, hình phạt, chỉ nên tu hành. | "Hình tù hiệp ấn, hình trượng nan đào."
CÁCH | Nhật Nguyệt giáp mệnh | Không giàu cũng sang, địa vị cao quý. | "Nhật Nguyệt hiệp mệnh, phi phú tắc quý."
CÁCH | Lộc Tồn & Thiên Mã đồng cung | Đi xa phát tài, buôn bán thuận lợi, tài lộc dồi dào. | "Lộc Mã giao trì, phát tài viễn quận."
CÁCH | Hóa Khoa & Hóa Quyền & Hóa Lộc hội chiếu | Phú quý song toàn, uy quyền hiển hách, công danh sáng lạn. | "Khoa Quyền Lộc hội, phú quý song toàn."
CÁCH | Tả Phụ & Hữu Bật giáp mệnh | Quý nhân phù trợ, tay trắng làm nên sự nghiệp. | "Tả Hữu giáp mệnh vi quý cách."
CÁCH | Địa Không & Địa Kiếp giáp mệnh | Nghèo hèn, chết yểu, vận số long đong. | "Không Kiếp giáp mệnh, phi yểu tắc bần."
CÁCH | Tam Không hội Văn Xương tại cung Phu Thê | Kết hôn được vợ con nhà danh giá, sang quý. | "Tam Không hội Văn Xương ư Thê cung, thiềm cung chiết quế."
CÁCH | Song Hao (Đại Hao & Tiểu Hao) thủ tại Mão, Dậu | Tiền tài dễ đến dễ đi, như nước chảy về biển đông. | "Song Hao cư Mão Dậu, chúng thủy triều đông."
CÁCH | Cự Môn & Thái Tuế & Thiên Hình đồng cung hoặc hội | Có tài biện luận, thích hợp nghề thầy kiện, luật sư. | "Cự Môn gặp Hổ, Tuế, Hình hội viên, ấy là nghề thầy kiện quan tòa."
CÁCH | Phá Quân & Tham Lang gặp Lộc Tồn & Thiên Mã | Đàn ông lang bạt, đàn bà dâm đãng, phong lưu. | "Phá Tham Lộc Mã giao nhau, nam thì lãng đãng nữ màu đa dâm."
SAO | Thiên Hình tại Dần, Thân, Mão, Dậu | Anh hùng, có chí khí, uy quyền. | "Thiên Hình Dần Thân Mão Dậu anh hùng."
SAO | Thiên Riêu gặp Đào Hoa | Phong lưu, đa tình, dâm đãng, dễ gặp chuyện tình ái. | "Riêu Đào tương ngộ, phong tình bất chính."
SAO | Long Trì & Phượng Các đồng cung | Cao quý, đài các, văn chương, có quý nhân đề bạt. | "Long Trì Phượng Các, văn chương quý hiển."
SAO | Kình Dương & Đà La nhập miếu tại Thìn, Tuất, Sửu, Mùi | Uy quyền, anh hùng, nhưng cũng cô độc, hình khắc. | "Kình Dương tứ mộ, uy trấn biên cương."
HẠN | Hạn gặp Linh Tinh + Văn Xương + Đà La + Vũ Khúc đồng cung hoặc xung chiếu | Công danh trắc trở, sự nghiệp khó khăn, chí lớn khó thành. | "Linh Xương Đà Vũ, chí nại đầu hà."
HẠN | Hạn gặp Thiên Không | Phá tán gia sản, vợ con tổn thương, tuổi thọ khó bảo toàn. | "Thiên Không nhập hạn phá điền trang, thê tử tu phòng hữu tổn thương."
HẠN | Hạn gặp Địa Kiếp | Tai họa, quan tụng, tiền bạc thất bại, thậm chí nguy hiểm tính mạng. | "Địa Kiếp nhập hạn, tài bạch bất duy đa thất bại, cánh ưu thọ mệnh nhập tuyền hương."
HẠN | Hạn gặp Thiên Mã đồng cung Lộc Tồn | Đi xa có tài lộc, công việc thuận lợi, kinh doanh phát đạt. | "Mã ngộ Lộc Tồn, viễn hành đắc lợi."
HẠN | Hạn gặp Hóa Kị xung chiếu Kình Dương & Đà La | Tai họa, thị phi, kiện tụng, dễ gặp chuyện bất trắc. | "Kị Kình Đà hội, tai họa trùng trùng."
BỘ | Tả Phụ & Hữu Bật & Văn Xương & Văn Khúc hội mệnh | Đa tài, thông minh, thành đạt trên con đường văn chương, khoa bảng. | "Xương Khúc Tả Hữu, văn chương quán thế."
SAO | Cự Môn & Hóa Kị đồng cung | Thị phi, khẩu thiệt, cuộc sống lận đận, hay gặp chuyện buồn phiền. | "Cự Môn Kị tinh giai bất cát, vận thân mệnh hạn kị tương phùng."
SAO | Hồng Loan & Thiên Hỉ đồng cung | Hỉ sự, cưới hỏi, nhân duyên tốt đẹp, không khí vui vẻ. | "Loan Hỉ đồng cung, nhân duyên mỹ mãn."
CÁCH | Tham Lang & Văn Xương đồng cung tại Tị hoặc Hợi | Dễ yểu vong, xương tan thịt nát nếu thêm sát tinh. | "Xương Tham cư mệnh, phấn cốt toái thi."
CÁCH | Thiên Lương thủ mệnh tại Tị hoặc Hợi gặp Thiên Mã | Nam phiêu bạt, nữ đa dâm, tính tình lêu lổng. | "Lương Tị Hợi cư, nam phiêu nữ đãng."
HẠN | Hạn gặp đủ Sát Phá Lang ở tam hợp | Biến động lớn, thay đổi môi trường, thời điểm quyết định thành bại. | "Sát Phá Lang hội, hạn biến động phi thường."
CÁCH | Thái Dương & Thái Âm đồng cung tại Sửu hoặc Mùi | Công danh lận đận, nhưng có thể hưởng phú quý muộn. | "Nhật Nguyệt Sửu Mùi, công danh lận đận."
